                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.96611,                0.53524,                0.93519,                0.88655,                 0.9349,                0.97078,                 0.7201,                0.97282,                  0.539,                 0.9418,                0.00137,                0.00137,                0.00137
                     38,                0.95329,                0.52452,                0.93713,                0.90112,                0.93365,                0.96647,                0.71966,                0.97519,                0.53283,                0.94449,               0.001352,               0.001352,               0.001352
                     39,                0.94497,                0.51463,                0.93136,                0.90523,                0.92423,                0.96825,                0.70812,                0.97912,                 0.5398,                0.94739,               0.001334,               0.001334,               0.001334
                     40,                0.93586,                 0.5181,                0.92783,                0.89157,                0.94774,                0.96763,                0.71805,                 1.0071,                0.51745,                0.94627,               0.001316,               0.001316,               0.001316
                     41,                0.95186,                0.51521,                0.93005,                0.90831,                0.91676,                0.97202,                0.70508,                 1.0091,                 0.5381,                0.95513,               0.001298,               0.001298,               0.001298
                     42,                0.96177,                0.52333,                0.93499,                0.89356,                0.92209,                0.96386,                0.70226,                0.96002,                0.61978,                0.94331,                0.00128,                0.00128,                0.00128
                     43,                0.94568,                0.52427,                0.93493,                0.88981,                 0.9317,                0.97001,                0.71765,                0.97575,                0.52882,                0.94566,               0.001262,               0.001262,               0.001262
                     44,                0.93905,                0.51325,                0.92882,                0.91749,                0.91462,                0.97041,                0.72442,                0.98703,                0.51196,                0.94574,               0.001244,               0.001244,               0.001244
                     45,                0.93205,                0.50228,                0.92457,                 0.9242,                0.93063,                0.97425,                0.72346,                 0.9715,                0.50208,                0.94389,               0.001226,               0.001226,               0.001226
                     46,                0.93297,                0.50779,                0.92925,                0.92899,                0.92155,                 0.9757,                0.72074,                 0.9964,                0.51123,                0.95215,               0.001208,               0.001208,               0.001208
                     47,                0.94196,                0.50101,                0.92807,                0.88303,                0.92654,                0.97179,                0.71866,                0.98467,                0.52124,                0.94508,                0.00119,                0.00119,                0.00119
                     48,                0.92981,                0.50392,                0.92759,                0.90976,                0.91452,                0.97441,                 0.7159,                0.98816,                0.52258,                0.94395,               0.001172,               0.001172,               0.001172
                     49,                0.93036,                0.50491,                0.92564,                0.92074,                0.91739,                0.97222,                0.72419,                0.97986,                0.50649,                0.94493,               0.001154,               0.001154,               0.001154
                     50,                0.92612,                0.50237,                0.92257,                0.91619,                0.92956,                0.96533,                0.72537,                0.96887,                   0.53,                0.94189,               0.001136,               0.001136,               0.001136
                     51,                 0.9191,                0.50146,                 0.9198,                0.94127,                0.90648,                0.97331,                0.72583,                0.97642,                0.51132,                0.93928,               0.001118,               0.001118,               0.001118
                     52,                0.91637,                0.48287,                0.92204,                0.89573,                0.93703,                0.96967,                  0.726,                0.96883,                0.51933,                0.94027,                 0.0011,                 0.0011,                 0.0011
                     53,                0.91903,                0.48196,                0.92774,                0.90138,                0.94623,                0.97655,                0.73685,                0.95769,                0.49329,                0.93738,               0.001082,               0.001082,               0.001082
                     54,                0.91985,                0.49098,                0.92459,                0.91638,                0.91142,                0.97301,                0.72845,                0.95937,                0.49988,                0.93886,               0.001064,               0.001064,               0.001064
                     55,                0.92801,                0.48246,                0.92531,                 0.9066,                0.92197,                0.96715,                0.71796,                0.97843,                 0.5076,                 0.9432,               0.001046,               0.001046,               0.001046
                     56,                0.91582,                0.48775,                0.92021,                0.92699,                0.90787,                0.97391,                0.71841,                0.97318,                0.51521,                0.94539,               0.001028,               0.001028,               0.001028
                     57,                0.91419,                0.48007,                0.92731,                  0.903,                 0.9285,                0.96939,                0.72967,                0.97246,                0.49838,                0.94061,                0.00101,                0.00101,                0.00101
                     58,                0.90208,                0.47839,                0.92318,                0.92133,                0.92102,                0.97311,                0.73023,                0.95962,                0.49999,                0.93912,               0.000992,               0.000992,               0.000992
                     59,                0.90226,                0.47759,                0.91879,                0.91198,                0.91784,                 0.9657,                0.72446,                0.95525,                0.50405,                 0.9371,               0.000974,               0.000974,               0.000974
                     60,                0.88724,                0.47814,                0.92054,                0.89697,                0.92915,                0.96236,                0.71848,                0.99772,                0.49762,                0.95311,               0.000956,               0.000956,               0.000956
                     61,                0.90553,                0.47682,                0.91972,                0.90896,                0.93063,                 0.9681,                 0.7227,                0.98027,                0.49135,                0.94708,               0.000938,               0.000938,               0.000938
                     62,                0.89413,                0.47593,                0.91936,                0.93255,                0.90006,                0.96518,                0.72682,                0.95672,                0.49473,                0.93822,                0.00092,                0.00092,                0.00092
                     63,                0.89874,                0.47735,                0.91565,                0.90605,                0.93666,                0.97512,                0.73277,                0.94716,                0.49653,                 0.9326,               0.000902,               0.000902,               0.000902
                     64,                0.88852,                0.46902,                0.91501,                0.91231,                0.93383,                0.97131,                0.73787,                0.94548,                0.48308,                0.93117,               0.000884,               0.000884,               0.000884
                     65,                0.89819,                0.47405,                0.91526,                0.90514,                0.93691,                0.96646,                0.73305,                0.94404,                0.47448,                0.93355,               0.000866,               0.000866,               0.000866
                     66,                0.87316,                0.45831,                0.91449,                0.92244,                0.92956,                0.96801,                0.73291,                0.96095,                0.49804,                0.93919,               0.000848,               0.000848,               0.000848
                     67,                0.87214,                0.46184,                0.91559,                0.90791,                 0.9365,                0.97432,                0.73049,                0.96156,                0.49025,                0.93968,                0.00083,                0.00083,                0.00083
                     68,                0.87921,                0.46594,                0.91341,                0.92042,                0.92956,                0.97478,                0.73674,                0.94356,                0.47756,                0.93346,               0.000812,               0.000812,               0.000812
                     69,                0.86518,                0.45629,                0.90892,                 0.9272,                0.92636,                0.97337,                0.73005,                 0.9525,                0.48997,                0.93818,               0.000794,               0.000794,               0.000794
                     70,                 0.8741,                0.46583,                 0.9121,                0.93187,                0.90822,                0.97534,                0.73581,                0.95497,                0.50047,                0.94063,               0.000776,               0.000776,               0.000776
                     71,                0.86937,                 0.4559,                0.90741,                0.91168,                 0.9381,                0.97046,                0.73335,                0.95324,                0.48911,                  0.938,               0.000758,               0.000758,               0.000758
                     72,                0.85978,                0.45549,                0.91422,                0.92418,                0.92102,                0.96042,                0.72553,                0.93895,                0.48391,                0.93551,                0.00074,                0.00074,                0.00074
                     73,                0.86637,                0.45203,                0.91398,                 0.9122,                0.92743,                 0.9721,                0.73712,                0.94421,                0.48401,                0.93404,               0.000722,               0.000722,               0.000722
                     74,                0.85832,                0.45112,                0.90103,                0.92136,                0.92423,                0.97241,                0.73008,                0.97144,                0.47626,                0.94086,               0.000704,               0.000704,               0.000704
                     75,                0.85701,                0.44555,                0.90951,                0.93318,                0.93276,                0.97853,                0.73245,                0.95119,                0.48223,                0.94074,               0.000686,               0.000686,               0.000686
                     76,                0.84937,                0.44519,                0.90597,                 0.9139,                 0.9289,                0.96856,                0.73519,                0.94758,                0.46953,                0.93664,               0.000668,               0.000668,               0.000668
                     77,                0.85525,                0.44547,                0.90336,                0.90949,                0.92743,                0.97295,                0.73056,                0.95972,                 0.4846,                0.94031,                0.00065,                0.00065,                0.00065
                     78,                0.86796,                0.45713,                0.90869,                0.91221,                0.91996,                0.97025,                0.73325,                0.95104,                0.49856,                0.93765,               0.000632,               0.000632,               0.000632
                     79,                0.85545,                0.44606,                0.91057,                0.90501,                0.94567,                0.97096,                 0.7391,                0.94589,                0.47008,                0.93367,               0.000614,               0.000614,               0.000614
                     80,                0.84488,                0.43647,                0.90502,                0.92947,                0.92824,                0.97363,                0.73317,                0.95999,                0.47497,                0.93749,               0.000596,               0.000596,               0.000596
                     81,                0.84783,                0.43503,                 0.9028,                0.93715,                0.89648,                0.96934,                0.72954,                0.96483,                0.48581,                0.93989,               0.000578,               0.000578,               0.000578
                     82,                0.84426,                0.43782,                0.90345,                0.92976,                0.90822,                0.97377,                0.72772,                0.97111,                0.49378,                0.94399,                0.00056,                0.00056,                0.00056
                     83,                0.85036,                0.44606,                0.90567,                0.90783,                0.93551,                0.96991,                0.72737,                0.96108,                0.49213,                0.94076,               0.000542,               0.000542,               0.000542
                     84,                0.85394,                0.44479,                0.90117,                0.92492,                0.92034,                0.97513,                0.73052,                0.95589,                0.48067,                0.93781,               0.000524,               0.000524,               0.000524
                     85,                0.84206,                0.43638,                 0.9068,                0.93233,                0.91569,                 0.9754,                0.73425,                0.95562,                0.47608,                0.93799,               0.000506,               0.000506,               0.000506
                     86,                0.84749,                 0.4288,                0.90557,                0.92612,                0.91462,                0.97151,                0.72936,                0.95623,                0.47191,                0.93877,               0.000488,               0.000488,               0.000488
                     87,                0.82677,                0.42228,                0.89997,                0.91404,                0.92102,                0.97315,                0.73115,                0.96524,                0.48313,                0.94248,                0.00047,                0.00047,                0.00047
                     88,                0.85088,                0.43131,                0.90682,                0.89815,                0.94237,                0.97208,                0.73618,                0.95742,                0.47189,                0.93643,               0.000452,               0.000452,               0.000452
                     89,                0.82254,                 0.4281,                0.89523,                 0.9176,                0.91514,                0.97043,                0.73663,                0.96161,                0.48061,                0.93986,               0.000434,               0.000434,               0.000434
                     90,                 0.8337,                0.42767,                0.90415,                 0.9221,                0.92423,                0.97267,                0.73123,                0.96837,                0.49857,                0.94176,               0.000416,               0.000416,               0.000416
                     91,                0.82057,                0.42325,                 0.8988,                0.92219,                0.92337,                0.96849,                0.73181,                0.95908,                0.49257,                0.94139,               0.000398,               0.000398,               0.000398
                     92,                 0.8133,                 0.4072,                0.89733,                0.90806,                0.93276,                0.96929,                0.73636,                0.94632,                0.47721,                0.93712,                0.00038,                0.00038,                0.00038
                     93,                0.80566,                0.40002,                0.90099,                0.90264,                0.94557,                0.97106,                0.72804,                 0.9583,                0.47967,                0.93915,               0.000362,               0.000362,               0.000362
                     94,                 0.7965,                0.39461,                0.89114,                  0.915,                0.94209,                0.97388,                0.73603,                0.95696,                0.46918,                0.93663,               0.000344,               0.000344,               0.000344
                     95,                0.79969,                0.39355,                0.89257,                 0.9283,                0.90928,                0.97196,                0.73312,                0.95505,                0.47852,                0.93645,               0.000326,               0.000326,               0.000326
                     96,                0.79356,                0.39092,                0.89166,                0.92583,                0.91925,                 0.9679,                0.73567,                 0.9456,                 0.4792,                0.93394,               0.000308,               0.000308,               0.000308
                     97,                0.79404,                0.39446,                0.89352,                  0.921,                0.92074,                0.96846,                0.73649,                0.95094,                0.47619,                0.93541,                0.00029,                0.00029,                0.00029
                     98,                0.79344,                 0.3911,                0.89444,                0.91866,                0.92812,                0.97115,                0.73325,                0.95457,                0.47853,                0.93648,               0.000272,               0.000272,               0.000272
                     99,                0.78036,                0.38437,                0.89153,                0.90733,                0.93383,                0.97056,                0.73751,                0.94945,                0.47783,                0.93506,               0.000254,               0.000254,               0.000254
                    100,                0.77471,                 0.3859,                0.88682,                0.91603,                0.93139,                0.97128,                0.73238,                 0.9592,                0.47453,                0.93746,               0.000236,               0.000236,               0.000236
